Name,Date,Rate,Subject,Text,People_liked,Type_purchase,Image_review
BuzzA,"Aug 2, 2022",5.0/5,My favorite makeup item - use it every day,"I did NOT receive this item as part of a promotion :), and I very rarely write reviews. However... I bought this after first purchasing the Weekend Set and falling in love with the brand. I thought the Biscuit color would be great, as it's a cool gray-ish brown that looks much more natural than the usual orange-ish warm bronzers, and I knew that creating shadows is the best way to contour my ""seasoned"" skin. This is now my FAVORITE make-up item and I use it every day. It's so natural and glides on like butter, easy to blend even on dry skin (but I like it with a primer first). Worth the $$. Hope this helps someone else who's trying to justify the purchase.",14,Verified purchase,-
unii,"Jan 7, 2022",3.0/5,Doesn’t stay on.,"I love Westman Altelier foundation and blush sticks, I use these almost daily. But I’m not a fan of their contour stick because it doesn’t really stay on and there’s just something off about the color. For something that costs $48 per stick, it didn’t deliver. Stick with your contouring or bronzer powder.",10,Verified purchase,-
Emly,"July 28, 2022",5.0/5,buttery smooth,Biscuit is a subtle cool brown and very natural .,4,Not verified,-
Tsundra,"July 10, 2022",5.0/5,Hydrating,"Luxuriant, moisturizing and blends beautifully. A wonderful product that feels and looks lovely.",2,Verified purchase,-
Nikkiev,"Mar 9, 2022",5.0/5,Fell in love with it,This was the first item I bought from this brand and I just love it. It rolls on so smooth and I love this rich color. I am hooked and already placed an order for something else from them.,2,Verified purchase,-
TVA1,"Mar 17, 2023",5.0/5,My new favorite product!,Very pigmented but easy to blend. Looks extremely natural and has great staying power! My new favorite product!,1,Verified purchase,-
Lynne F.,"Feb 24, 2023",5.0/5,Face Trace,"Doesn’t have magnet lid, so I keep dropping it and smudging the product! But I love the texture!",-,Not verified,-
Victoria L.,"Feb 21, 2023",2.0/5,this was too chalky and,this was too chalky and thick and the color was all wrong. Returned it today via my fed ex account,-,Not verified,-
eye pods,"Feb 17, 2023",1.0/5,broke out my face,Greasy and heavy,-,Verified purchase,-
Julie G.,"Feb 13, 2023",4.0/5,I like this product and,I like this product and it allows me to achieve a look similar to highlighter,-,Not verified,-
Wendy,"Feb 13, 2023",1.0/5,No staying power,Beautiful colour but disappears,-,Verified purchase,-
Eugenia V.,"Feb 12, 2023",5.0/5,"I like the color, and","I like the color, and especially how smoothly it goes on.",-,Not verified,-
Kathryn Zeuthen,"Mar 16, 2023",5.0/5,Best cream contour,"I have tried all of the cream contour products, and this one is by far the best. It is incredibly user-friendly. It blends beautifully and the color biscuit is so incredible. It works for many different skin tones definitely for fair to medium skin tones I love this, and I will never be without it.",1,Verified purchase,-
Captainmerriam,"Mar 16, 2023",5.0/5,favorite contour,Blends perfectly,1,Verified purchase,-
Sasawooee,"Mar 16, 2023",5.0/5,Cool toned!,I purchased the color bisque and it is a great cooler toned bronzer for light/medium skin! Perfect!,1,Not verified,-
Jody M.,"Apr 23, 2023",5.0/5,Over 65,This product blends right in! It is amazingly natural!,-,Not verified,-
Ciar M.,"Apr 23, 2023",5.0/5,Great!,I have fair skin-this is a great shade for me whether bronzing or more for contour. Super happy with how easy it is to apply and speed of application. Also I personally like that it has a buildable finish according to your taste- I prefer a lighter finish but this also works if I wanted more. It might take me a while to get through but I will definitely purchase again!,-,Not verified,-
808chicsta,"Apr 21, 2023",4.0/5,Pretty and easy to use,"I purchased the Biscuit color. It’s my first contour stick. It goes on well and melts into your skin after blending it out. The color is pretty, but it’s fairly light. If you want a super natural look then it’s fine. I’m light to medium skin tone. I think I would have liked the truffle color better to see a bit more contour.",-,Verified purchase,-
Eva,"Apr 20, 2023",5.0/5,Worth the money,"I was really thinking long and hard before buying this, it’s quite a bit of money for a contour stick! But then my MUA showed me how to use Truffle on my fair skin as bronzer and I was sold. The color looked intimidating first but I cannot emphasise enough how well this blends. It looks like your skin and gives a beautiful sun kissed colour. I might use it more as a contour stick when I get tan this summer but however I use it, I don’t want to be without it. Well worth the money as with all these products.",-,Not verified,-
Domenica G.,"Apr 18, 2023",5.0/5,Biscuit is a beautiful color.,Biscuit is a beautiful color. This was my first time trying a contour and it was easy to use and blend. Looks beautiful with Baby Cheeks in Mimi.,-,Not verified,-
maarja u.,"Apr 18, 2023",5.0/5,Icredible product. I have never,Icredible product. I have never used face contour before and this product made it so easy. Smooth texture and very natural finish.,-,Not verified,-
